trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
550,False,"{'a': 0.5, 'e': 0.06392786120670757}",25,0,26.603110437302448,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
551,False,"{'a': 0.5, 'e': 0.0636090196687718}",20,0,32.03101756403068,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
552,False,"{'a': 0.5, 'e': 0.0632917683596407}",20,0,15.600833191152315,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
553,False,"{'a': 0.5, 'e': 0.06297609934801507}",30,16,19.45248682610754,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
554,False,"{'a': 0.5, 'e': 0.06266200474215315}",20,9,-11.95120676655256,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
555,False,"{'a': 0.5, 'e': 0.06234947668967343}",20,10,16.92576328231743,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
556,False,"{'a': 0.5, 'e': 0.06203850737735829}",25,0,29.457749881337957,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
557,False,"{'a': 0.5, 'e': 0.06172908903095879}",25,17,15.897946025537507,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
558,False,"{'a': 0.5, 'e': 0.06142121391500013}",20,14,9.372931907420313,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
559,False,"{'a': 0.5, 'e': 0.06111487433258836}",25,17,16.426344662447704,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
560,False,"{'a': 0.5, 'e': 0.06081006262521795}",30,11,32.34276938109738,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
561,False,"{'a': 0.5, 'e': 0.06050677117258039}",25,3,31.703853392535983,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
562,False,"{'a': 0.5, 'e': 0.06020499239237354}",30,14,15.047835188216101,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
563,False,"{'a': 0.5, 'e': 0.05990471874011218}",25,4,17.12550769627713,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 0}",1
564,False,"{'a': 0.5, 'e': 0.05960594270893937}",20,7,19.08483438653489,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
565,False,"{'a': 0.5, 'e': 0.05930865682943872}",25,12,24.85556696333739,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
566,False,"{'a': 0.5, 'e': 0.05901285366944784}",25,12,26.8538915534608,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
567,False,"{'a': 0.5, 'e': 0.058718525833872284}",20,14,9.293781282439019,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
568,False,"{'a': 0.5, 'e': 0.05842566596450083}",20,0,12.736117278561451,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
569,False,"{'a': 0.5, 'e': 0.058134266739821465}",20,6,15.489707166818137,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
570,False,"{'a': 0.5, 'e': 0.057844320874838456}",30,0,44.68748896773606,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
571,False,"{'a': 0.5, 'e': 0.05755582112089005}",25,10,27.614505005636335,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
572,False,"{'a': 0.5, 'e': 0.05726876026546736}",20,3,22.28826979752856,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
573,False,"{'a': 0.5, 'e': 0.056983131132034036}",25,10,14.962986277258384,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
574,False,"{'a': 0.5, 'e': 0.0566989265798469}",20,0,24.38187710398765,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
575,False,"{'a': 0.5, 'e': 0.05641613950377735}",20,14,10.882027464889191,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
576,False,"{'a': 0.5, 'e': 0.056134762834133725}",20,14,11.529364250124761,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
577,False,"{'a': 0.5, 'e': 0.05585478953648462}",25,19,10.416772481117722,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
578,False,"{'a': 0.5, 'e': 0.05557621261148306}",20,2,28.46063816302138,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
579,False,"{'a': 0.5, 'e': 0.05529902509469138}",30,19,11.492201242488724,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
580,False,"{'a': 0.5, 'e': 0.05502322005640723}",20,3,1.9811914630590075,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
581,False,"{'a': 0.5, 'e': 0.054748790601490266}",20,3,23.877283768674623,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
582,False,"{'a': 0.5, 'e': 0.05447572986918986}",30,16,17.026964782772737,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
583,False,"{'a': 0.5, 'e': 0.054204031032973464}",25,12,22.671904315947778,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
